Feature,Importance
Contract,0.4139897838968681
tenure,0.14821948561940917
MonthlyCharges,0.13838250183149364
TotalCharges,0.08492136397429223
OnlineSecurity,0.07808374717940222
TechSupport,0.051661040963262614
PaymentMethod,0.018113532059905
PaperlessBilling,0.013173444456096492
InternetService,0.01082730619004414
MultipleLines,0.01003989698734908
OnlineBackup,0.009895863262415212
SeniorCitizen,0.007864703003613402
gender,0.0037681571225808438
StreamingMovies,0.0034103151514595855
Dependents,0.002836620729150125
PhoneService,0.001696072238579451
DeviceProtection,0.0015825645887233243
StreamingTV,0.0011706392979788111
Partner,0.00036296144737644743
